Reporter,Partner,Product categories,Indicator Type,Indicator,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,World,Miscellaneous,Export,Export(US$ Mil),         565609.71,         517588.33,         474126.50,         491469.99,         508098.01,         495890.86,         491404.67,         447834.04,         406461.44,         314599.44,         378344.14,         317857.94,         362810.81,         310912.10,         201935.18,         214944.63,         144218.71,         139693.92,         149911.81,         126197.89,         121381.12,         124170.84,         107687.83,         105219.20,          88633.71,          76851.71,          52153.29,          41745.94,          36681.99,          33454.42,          28131.14
,World,Plastic or Rubber,Export,Export(US$ Mil),         270936.66,         258051.39,         228733.82,         236292.48,         261024.14,         260666.17,         258196.68,         256965.98,         206390.86,         147428.20,         174541.72,         156162.55,         136137.76,         115370.76,          96401.80,          76027.24,          63214.91,          56385.51,          61766.73,          52652.30,          50151.63,          53243.72,          51607.02,          53185.56,          39656.80,          33015.64,          24424.63,          20232.10,          18587.59,          18069.03,          10416.25
,World,Raw materials,Export,Export(US$ Mil),         320147.85,         329872.79,         273272.91,         276212.69,         346982.05,         365993.39,         366564.03,         395954.22,         300203.06,         217721.60,         266903.66,         201095.35,         181273.62,         152083.89,         125480.70,         101408.42,          89882.86,          88012.73,          88185.48,          67891.56,          70436.67,          81270.59,          79894.55,          73583.69,          67854.47,          61314.69,          62614.70,          49195.46,          48461.98,          46166.80,          20080.42
,World,Stone and Glass,Export,Export(US$ Mil),         229605.35,         247012.85,         246238.38,         244402.96,         281988.34,         291126.30,         259839.26,         217362.25,         151252.05,         117471.48,         119976.04,          95837.29,          81931.72,          62853.31,          59069.58,          49369.92,          36765.97,          33376.20,          34787.42,          32071.48,          39158.46,          35543.29,          33457.99,          29558.23,          24015.88,          19665.97,          15630.52,          12009.89,          11148.29,           9728.64,           6754.27
,World,Textiles and Clothing,Export,Export(US$ Mil),         345365.50,         365976.03,         364160.12,         387244.32,         406948.53,         392152.32,         360187.30,         358586.49,         302597.64,         249979.73,         283680.26,         271356.28,         240433.80,         205873.73,         185592.24,         162839.09,         143780.35,         137076.22,         143564.85,         124661.30,         121968.01,         132943.13,         122990.49,         121532.56,         114798.39,         100939.77,          68396.69,          40049.42,          33909.33,          33558.36,          23761.59
,World,Transportation,Export,Export(US$ Mil),         442367.91,         441316.31,         416693.62,         432644.29,         444331.88,         443660.73,         472498.02,         467744.50,         415468.68,         307667.75,         404246.78,         348508.04,         293202.93,         250904.17,         222978.12,         184769.42,         157820.75,         139774.38,         146887.55,         134695.31,         129805.47,         129844.29,         120505.47,         121359.36,         120146.90,         114465.44,         104218.06,          90906.71,          82397.61,          75691.12,          73591.35
,World,Vegetable,Export,Export(US$ Mil),         106776.43,         128262.54,         113092.89,         110357.60,         118983.87,         111870.20,         117099.82,         120895.80,          89060.85,          70290.53,          80890.58,          58637.92,          43999.78,          38900.75,          38420.85,          32616.81,          28900.90,          25893.62,          26944.27,          26097.35,          27984.14,          29347.97,          27414.21,          24104.34,          23797.88,          18965.48,          17849.30,          12130.69,          12167.10,          13197.26,           3297.03
,World,Wood,Export,Export(US$ Mil),          89755.43,          87806.38,          84841.25,          87398.75,          89906.40,          84969.35,          81100.39,          84374.14,          69895.08,          55872.70,          62765.87,          58644.82,          51314.57,          43905.34,          40090.49,          34073.00,          31373.17,          29387.67,          32394.68,          28562.99,          25601.43,          29180.29,          28872.56,          29127.27,          25350.02,          23252.68,          17698.05,          14416.83,          13433.59,          12804.32,           3381.97
,World,All Products,Export,Exports (in US$ Mil),        5890093.66,        5660602.63,        5135553.93,        5339349.88,        5719008.53,        5598524.54,        5449133.49,        5309063.10,        4515746.67,        3463278.92,        4206264.65,        3686151.96,        3179730.99,        2711421.18,        2360943.39,        1897034.32,        1592917.09,        1476472.18,        1608286.77,        1342163.78,        1269598.15,        1351387.76,        1279320.53,        1253320.45,        1068477.56,         921723.37,         728340.74,         589476.85,         531127.42,         493981.19,         357690.00
,World,Capital goods,Import,Import(US$ Mil),        2163223.41,        2046203.16,        1841003.26,        1868991.78,        1925762.13,        1897866.21,        1829936.19,        1722636.52,        1556139.42,        1207464.57,        1380231.55,        1290911.78,        1094912.07,         950700.61,         895896.44,         675963.20,         584387.19,         526407.89,         559419.76,         435257.66,         391390.00,         461468.48,         460160.00,         415358.97,         328389.62,         261497.56,         191244.47,         154104.28,         139246.67,         113568.38,          61743.29
,World,Consumer goods,Import,Import(US$ Mil),        1197576.64,        1089266.94,         968613.46,        1020865.21,        1222846.14,        1194355.71,        1190115.35,        1107571.87,         869574.58,         680873.43,         831761.74,         674004.15,         588946.79,         514905.94,         455284.53,         381353.82,         335262.09,         321054.98,         332583.60,         251479.70,         232532.71,         284870.21,         285032.06,         269615.92,         224817.47,         191990.53,         127438.61,         105446.63,          95728.52,          83471.81,          54839.22
,World,Intermediate goods,Import,Import(US$ Mil),        1049731.43,        1032767.28,         936419.42,         998020.19,        1061235.14,        1081184.92,        1010391.67,        1021429.37,         831278.75,         631337.67,         776754.72,         673162.49,         571872.41,         513367.87,         462317.21,         370432.78,         313420.99,         293751.89,         312048.27,         262834.25,         247816.07,         309001.03,         309584.15,         304698.95,         246684.30,         213660.86,         160196.28,         129460.18,         120273.16,         114206.81,          79330.29
,World,Raw materials,Import,Import(US$ Mil),        1032035.02,         885925.30,         696169.49,         740571.71,        1116651.31,        1161640.54,        1184941.10,        1152753.03,         846524.67,         610138.81,         874174.36,         606657.28,         517089.83,         426367.98,         331550.66,         244925.46,         202871.08,         205714.03,         221532.10,         159490.35,         141577.61,         188755.59,         188049.94,         171392.03,         147526.35,         138844.45,         133270.27,         123820.98,         120207.14,         105490.19,          84610.73
,World,All Products,Import,Imports (in US$ Mil),        5498922.16,        5098829.95,        4475122.03,        4659353.48,        5436300.18,        5464936.21,        5313920.88,        5095805.39,        4156008.54,        3159153.85,        3907775.95,        3272409.38,        2858833.22,        2479942.39,        2159622.25,        1725420.56,        1451117.53,        1359743.56,        1438029.62,        1143082.94,        1040260.04,        1274712.00,        1278610.87,        1185760.61,         972617.01,         830829.91,         629138.98,         533180.98,         497998.57,         435209.31,         292469.94
,...,...,Development,"GNI per capita, Atlas method (current US$)",          10982.31,          10151.54,           9837.91,   9783.63,   9908.51,   9688.43,   9087.27,   8119.45,   7319.78,   6504.47,   6151.96,   5642.09,   5272.46,   4986.06,   4556.96,   4052.33,   3871.38,   3916.85,   3832.29,   3621.18,   3658.16,   4175.59,   4303.93,   4096.95,   3635.80,   3313.79,   3064.46,   2862.89,   2754.04,   2651.95,   2473.89
,...,...,Trade Indicator,HH Market concentration index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,...,...,Trade Indicator,Index of export market penetration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,...,...,Development,Trade (% of GDP),             58.03,             56.63,             54.30,     58.16,     63.40,     63.75,     63.88,     64.91,     62.55,     56.89,     68.96,     67.63,     67.78,     65.08,     62.52,     56.42,     51.80,     50.55,     51.88,     46.62,     47.97,     46.58,     44.99,     44.90,     43.46,     42.74,     41.11,     40.06,     39.92,     39.73,     41.14
,...,...,Development,Trade Balance (% of GDP),              1.59,              2.44,              2.57,      2.50,      1.18,      1.14,      1.44,      1.87,      3.08,      3.37,      3.67,      5.13,      4.53,      3.59,      2.76,      2.62,      2.52,      2.17,      2.48,      2.99,      3.97,      1.98,      0.64,      0.64,      1.13,     -0.06,      1.41,      1.70,      1.39,      0.56,      1.27
,...,...,Development,Trade in services (% of GDP),             10.38,             10.44,             10.40,     10.62,     10.86,     10.15,      9.74,      9.69,      9.16,      9.42,     11.08,     11.12,     10.39,      9.88,      9.69,      8.69,      9.44,      8.95,      8.40,      8.18,      8.82,      8.06,      7.04,,,,,,,,
,Australia,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,      4.19,      4.20,      4.32,      4.25
,China,All Products,Export,Partner share(%)-Top 5 Export Partner,             14.96,             14.84,             14.37,     14.07,     14.36,     15.17,     14.45,     14.43,     14.33,     13.82,     12.18,     12.53,     12.46,     12.50,     12.27,     11.92,     10.68,      9.56,      8.66,      8.10,      8.16,      8.47,      8.41,      7.94,      7.76,      7.87,,,,,
,China,All Products,Import,Partner share(%)-Top 5 Import Partner,             18.10,             18.89,             17.33,     19.98,     17.61,     17.22,     16.90,     16.17,     16.87,     17.58,     16.47,     17.56,     17.34,     16.93,     16.00,     15.61,     15.30,     14.33,     13.39,     13.00,     12.88,     11.62,     10.77,     10.65,     10.71,     10.18,      4.49,      4.60,      3.82,,
,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,      4.61,      5.27,      5.06,      4.64,      5.29
,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,      4.36,      4.22,      4.72,      4.69,      4.88,      4.45,      4.60
,"Hong Kong, China",All Products,Export,Partner share(%)-Top 5 Export Partner,              8.23,              7.99,              8.58,      8.95,      9.03,      9.53,      8.84,      8.08,      8.10,      8.03,      7.52,      8.19,      8.26,      8.13,      8.16,      8.11,      7.61,      7.01,      6.71,      6.64,      7.18,      8.05,      7.33,      7.64,      7.80,      7.01,     10.33,      5.15,,      4.28,      4.73
,"Hong Kong, China",All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,      4.54,,,,
,Japan,All Products,Export,Partner share(%)-Top 5 Export Partner,              5.65,              5.50,              5.71,      5.83,      6.38,      6.42,      7.16,      7.34,      6.90,      7.04,      7.42,      7.11,      7.66,      8.05,      8.28,      8.44,      8.72,      9.48,      8.96,      8.21,      7.70,      8.58,      9.20,      8.73,      8.43,      8.26,      8.65,      8.70,      9.06,      9.03,      5.64
,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,              7.17,              7.61,              7.84,      7.35,      7.09,      7.33,      8.37,      8.97,     10.10,      9.82,      9.79,     10.33,     10.51,     11.32,     12.31,     12.49,     12.19,     11.83,     12.57,     12.55,     12.27,     13.26,     13.88,     15.14,     15.50,     15.38,     13.67,     13.21,     12.44,     12.56,      9.70
,"Korea, Rep.",All Products,Export,Partner share(%)-Top 5 Export Partner,              3.91,              4.15,              4.04,      3.98,      4.05,      4.09,      4.31,      4.48,      4.51,      4.47,      4.66,      4.40,      4.42,      4.50,      4.64,      4.43,      4.43,      4.15,,,,,,,,,,,      4.55,      4.44,      4.71
,"Korea, Rep.",All Products,Import,Partner share(%)-Top 5 Import Partner,              6.16,              6.93,              6.67,      6.69,      6.26,      6.11,      6.00,      5.95,      6.02,      5.88,      5.47,      5.83,      6.02,      5.92,      5.90,      5.59,      5.19,      5.04,      5.23,      5.11,      4.92,      4.55,      4.45,      4.48,,,,,,      4.02,      4.50
,"Other Asia, nes",All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,      4.87,      4.66,      4.29,,,,,,,,,,
,"Other Asia, nes",All Products,Import,Partner share(%)-Top 5 Import Partner,              6.08,              6.17,              6.27,      6.13,      5.60,      5.48,      5.03,      5.00,      5.61,      5.53,      5.41,      6.26,      6.47,      6.45,      6.49,      6.29,      6.36,      5.80,      5.98,      5.55,      5.38,      5.17,      5.32,      5.49,      5.55,      5.73,,,,,
,Singapore,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,      5.02,      5.25,      5.41,      5.22,      5.00,      5.07,      5.09,      4.65,,
,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,             14.68,             14.66,             14.99,     14.84,     13.63,     13.12,     13.20,     12.65,     13.48,     13.97,     14.33,     16.03,     17.67,     18.16,     18.55,     19.57,     21.82,     22.28,     22.97,     23.90,     23.29,     21.11,     20.81,     21.31,     23.10,     23.34,     22.05,     24.16,     26.29,     28.59,     31.99
,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,              8.23,              8.43,              8.57,      8.70,      8.00,      7.78,      7.82,      7.91,      8.33,      8.73,      8.51,      9.03,      9.49,      9.78,     10.54,     11.59,     12.82,     13.89,     14.41,     16.38,     17.43,     16.70,     16.92,     16.65,     16.50,     16.42,     18.74,     20.04,     20.40,     21.20,     22.17
