Reporter,Partner,Product categories,Indicator Type,Indicator,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,World,Vegetable,Export,Export(US$ Mil),         109827.61,         110221.93,          99916.89,          99247.53,         101767.89,         103251.51,          99550.21,         100156.92,          74995.10,          61964.38,          75333.64,          58473.01,          44511.83,          40841.70,          37184.89,          32171.09,          25970.32,          25668.91,          23988.56,          26486.88,          30512.95,          30284.04,          25408.13,          24353.65,          21241.71,          13740.53,           9059.51,           8759.95,           5899.63,           4071.52,
,World,Wood,Export,Export(US$ Mil),          27476.96,          24244.46,          22201.81,          22955.54,          22960.49,          22089.03,          21049.90,          22153.24,          20342.18,          16765.29,          20818.20,          19224.94,          16914.19,          15186.10,          13875.30,          11441.67,           9853.87,          10024.73,          10198.65,           9157.67,           8356.59,           8636.82,           7956.04,           9136.86,           6562.24,           5376.69,           4584.05,           3274.81,           2910.38,           1756.44,
,World,All Products,Export,Exports (in US$ Mil),         990394.81,         932958.69,         844122.38,         874051.92,         991974.40,        1098145.83,        1103752.53,        1085819.97,         879514.84,         693172.74,         880667.68,         701213.31,         682117.95,         569318.85,         470978.84,         377779.17,         343416.71,         340245.58,         348140.06,         289402.30,         269305.69,         278240.63,         248898.27,         216976.65,         177052.82,         129481.12,         110039.69,          81716.84,          67407.74,          35543.00,
,World,Capital goods,Import,Import(US$ Mil),         365038.84,         340004.56,         326255.17,         351185.05,         371916.12,         389786.56,         382471.61,         363508.85,         308317.83,         240078.29,         299975.22,         236913.51,         222038.38,         187284.66,         157126.45,         128229.59,         126890.36,         140684.86,         139785.16,         123739.47,         125447.39,         116244.00,          92096.96,          77601.86,          68383.22,          48733.36,          37258.34,          24853.93,          19120.50,           5591.10,
,World,Consumer goods,Import,Import(US$ Mil),         309084.31,         307778.62,         275549.20,         303485.12,         349647.58,         359642.16,         351186.33,         340182.74,         268719.32,         201577.90,         262547.19,         214186.61,         180434.05,         151034.14,         120887.42,         102858.58,          99189.06,         106814.78,         102402.71,          82786.03,          84818.04,          79085.15,          62763.39,          57041.09,          50657.93,          35635.27,          26316.51,          15567.67,          10803.49,           1832.76,
,World,Intermediate goods,Import,Import(US$ Mil),         220795.14,         208318.84,         191885.30,         213318.58,         234441.26,         241497.41,         246135.06,         241108.66,         194179.97,         151041.15,         203933.42,         158898.17,         134165.31,         117271.82,         101083.60,          80759.80,          74163.73,          78488.40,          77468.19,          69823.48,          72711.50,          70353.42,          60622.19,          57161.06,          46545.49,          34201.82,          26898.34,          20957.34,          15297.33,           6059.79,
,World,Raw materials,Import,Import(US$ Mil),          66629.75,          60813.24,          52948.30,          61976.48,          85167.24,          91883.55,          86958.88,          92863.54,          69304.69,          57446.36,          87729.41,          63010.12,          52054.78,          44317.96,          37565.84,          29824.45,          26256.10,          26975.24,          26948.81,          22328.25,          23458.95,          25846.46,          25130.95,          18908.08,          16722.35,          12963.86,          13669.43,          12320.35,          11341.62,           6767.97,
,World,All Products,Import,Imports (in US$ Mil),         980781.73,         934138.91,         861074.82,         944959.25,        1054012.45,        1098262.91,        1082142.73,        1049659.17,         848423.94,         659485.36,         863331.72,         713262.87,         624838.51,         504549.98,         422331.71,         346498.23,         333195.51,         358133.39,         359328.25,         311507.44,         318200.31,         304724.99,         250637.84,         222820.57,         195946.45,         143259.11,         113518.15,          80965.91,          60388.93,          20618.53,
,...,...,Development,"GNI per capita, Atlas method (current US$)",           8718.56,           8393.29,           8534.66,   9250.56,  10070.78,  10191.31,   9793.07,   8862.52,   8041.97,   7254.14,   7087.33,   6149.24,   5272.05,   4578.68,   4088.54,   3768.86,   3778.91,   4032.96,   4150.97,   4056.08,   4252.92,   4272.36,   3986.41,   3681.01,   3449.87,   3216.75,   2987.84,   2697.58,   2340.88,   2239.56,   2133.32
,...,...,Trade Indicator,HH Market concentration index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,...,...,Trade Indicator,Index of export market penetration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,...,...,Development,Trade (% of GDP),             46.84,             45.29,             44.67,     47.67,     43.30,     44.35,     44.90,     45.26,     42.85,     40.21,     47.04,     45.40,     45.49,     46.76,     46.14,     42.84,     40.92,     38.48,     38.34,     36.41,     35.01,     35.18,     35.19,     34.12,     31.56,     30.90,     32.54,     31.34,     32.41,     31.66,     31.33
,...,...,Development,Trade Balance (% of GDP),             -0.85,             -0.82,             -0.32,     -3.41,     -2.79,     -1.96,     -0.90,      0.12,      0.30,     -0.09,     -0.25,      1.12,      2.57,      3.03,      3.11,      2.79,      1.89,     -1.31,     -0.75,     -1.13,     -2.73,     -1.68,     -0.33,     -0.72,     -1.20,     -1.25,     -0.66,      0.38,      2.14,      2.84,      2.25
,...,...,Development,Trade in services (% of GDP),              7.54,              7.26,              7.44,      7.19,      6.39,      6.31,      6.18,      5.86,      5.67,      6.14,      6.18,      6.23,      6.18,      6.50,      6.67,      6.82,      6.57,      6.17,      6.06,      6.04,      5.48,      5.56,      5.47,      5.68,      5.77,      6.07,      6.35,      5.29,      6.20,      6.29,      6.15
,Argentina,All Products,Export,Partner share(%)-Top 5 Export Partner,,              2.54,,,,,,      2.72,      2.68,,,      2.63,,,,,,      1.99,      2.36,      2.45,      3.35,      3.25,      2.88,,,      3.74,      3.68,,,,
,Argentina,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,      3.49,      3.49,      3.41,      4.20,      4.43,      4.55,      4.31,      3.56,      2.95,      3.06,      3.70,      4.15,      6.67,
,Brazil,All Products,Export,Partner share(%)-Top 5 Export Partner,              2.85,              2.69,              2.74,      2.97,      3.56,      3.54,      3.46,      3.46,      3.56,      3.35,      3.47,      3.17,      2.74,      2.44,      2.40,      2.18,      2.40,      3.27,      3.59,      3.05,      4.39,      4.61,      4.50,      4.88,      3.61,,,,,,
,Brazil,All Products,Import,Partner share(%)-Top 5 Import Partner,              5.03,              4.56,              3.94,      3.80,      3.72,      4.35,      4.44,      5.13,      5.14,      4.88,      5.42,      5.56,      5.54,      5.98,      5.39,      4.42,      3.42,      3.75,      3.76,      3.49,      4.13,      4.29,      4.24,      4.19,      4.92,      4.82,      2.79,,,,
,Canada,All Products,Export,Partner share(%)-Top 5 Export Partner,,              2.21,              2.27,      2.34,      2.20,,,,,,,,,,,,,,,,,,,,,,,,,,
,China,All Products,Export,Partner share(%)-Top 5 Export Partner,             12.33,             10.10,              8.81,      8.52,      8.58,      8.46,      7.59,      7.95,      7.71,      6.76,      4.49,      4.82,      3.39,      3.36,      3.04,      2.98,,,,,,,,,,,,,,,
,China,All Products,Import,Partner share(%)-Top 5 Import Partner,             18.94,             18.14,             18.05,     18.06,     16.66,     16.00,     15.27,     14.51,     14.18,     12.38,     11.12,     10.06,      8.71,      7.20,      6.56,      5.18,      3.72,,,,,,,,,,,,,,
,France,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      3.65,
,France,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,      2.78,      2.79,,
