Reporter,Partner,Product categories,Indicator Type,Indicator,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,World,Fuels,Export,Export(US$ Mil),         523828.82,         484945.51,         433445.67,         447395.29,         871716.83,         973835.18,         809865.45,         941358.44,         678013.47,         416400.27,         715962.83,         523162.53,         498399.54,         373904.94,         302992.75,         227044.25,         185263.22,         177134.69,         189451.51,         100414.43,          59188.31,          37681.55,          68673.45,          57989.30,          53018.71,          53069.75,          62536.93,          48528.86,           5056.81,           3505.81,
,World,Hides and Skins,Export,Export(US$ Mil),            835.75,            994.96,            778.94,            789.01,           1108.37,           1088.93,            947.83,           1051.57,            953.59,            622.93,            690.31,            680.58,            694.02,            576.87,            601.82,            563.19,            527.31,            454.63,            395.10,            263.69,            247.76,            287.07,            242.06,            252.23,            182.28,            124.32,             64.06,             45.58,              0.42,              0.15,
,World,Intermediate goods,Export,Export(US$ Mil),         151171.02,         153777.63,         142872.34,         134266.20,         164038.22,         171836.94,         155240.71,         120013.65,          94165.56,          66298.09,         111741.54,          78403.68,          58081.55,          57839.99,          42222.20,          33849.22,          29964.95,          27567.61,          26135.88,          20712.45,          19592.07,          15786.50,          17778.18,          18383.85,           7705.12,           5219.48,           6669.91,           4309.31,            100.71,            101.41,
,World,Mach and Elec,Export,Export(US$ Mil),          73024.70,          70442.88,          45712.44,          48530.29,          49171.80,          46755.99,          68654.49,          42480.68,          38085.01,          34567.68,          35816.45,          25727.65,          26834.78,          23778.44,          18254.04,          15388.56,          12900.83,          12376.00,          12995.20,          12184.29,           9836.42,           7993.51,           7506.33,           6767.89,           1916.44,           1381.11,            877.04,            536.25,             33.58,             38.22,
,World,Metals,Export,Export(US$ Mil),          37286.46,          34967.38,          29234.72,          25639.14,          30499.74,          28287.06,          27933.44,          23707.03,          19319.44,          15085.40,          19026.28,          14212.77,          14821.42,          11208.40,           9434.61,           6860.66,           5995.09,           5366.34,           5269.03,           3702.52,           2609.94,           2057.72,           2203.33,           2442.70,           1169.36,           1026.34,           1138.17,            871.56,             64.63,             73.26,
,World,Minerals,Export,Export(US$ Mil),           7303.40,           9205.76,           7193.20,           6049.12,           8689.44,          10190.83,           8052.37,          10136.87,           7357.00,           3879.38,           7278.79,           3491.93,           3922.99,           2706.57,           2521.50,           2179.49,           2350.00,           1611.27,           1519.07,           1417.59,           1280.36,           1172.58,            908.39,           1041.58,            811.93,            589.91,            345.14,            203.70,              0.29,              0.30,
,World,Miscellaneous,Export,Export(US$ Mil),         113304.40,         118774.60,         156659.92,         155402.12,         167028.49,         164826.94,          95355.45,          98214.52,          74832.69,          79362.07,          63495.06,          56370.70,          44721.63,          39660.57,          39801.94,          33236.66,          23911.34,           8898.41,           7716.67,           3194.46,           2119.83,           1768.95,           1424.51,           1661.84,            341.83,            306.53,            191.10,            185.10,             27.68,             29.31,
,World,Plastic or Rubber,Export,Export(US$ Mil),          37931.10,          40792.97,          35512.22,          27089.25,          36928.85,          38756.16,          32542.24,          31136.11,          25781.30,          17493.22,          17648.92,          15552.04,          13453.38,          10439.93,           8281.74,           5922.43,           5030.19,           4925.57,           4143.12,           2991.81,           2662.71,           1501.76,           2478.90,           2727.21,           1113.46,            903.62,           1533.04,            975.92,              6.80,              5.15,
,World,Raw materials,Export,Export(US$ Mil),         192637.62,         198811.98,         316935.76,         316847.01,         642564.57,         748631.81,         600371.74,         647762.85,         459069.89,         271574.23,         550811.49,         399571.06,         335881.75,         302433.78,         209292.44,         161981.06,         129976.98,         123976.14,         127050.89,          70608.20,          51235.82,          33035.22,          58261.72,          50917.43,          43660.92,          42780.65,          50623.17,          42435.21,           4992.29,           3579.83,
,World,Stone and Glass,Export,Export(US$ Mil),          68741.00,          71402.65,          68929.08,          65158.98,          66717.71,          74303.14,          85855.43,          73093.34,          56746.01,          41472.55,          50855.57,          36864.94,          29852.35,          27185.48,          23361.65,          16962.56,          14245.48,          11667.04,          11825.40,           9461.51,           7452.55,           7831.00,           7182.78,           6626.53,            276.31,            532.33,            159.24,            105.77,              9.01,              2.24,
