Reporter,Partner,Product categories,Indicator Type,Indicator,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,World,Footwear,Export,Export(US$ Mil),          62691.78,          56726.99,          51234.19,          48535.00,          54130.39,          50036.23,          44413.46,          47145.30,          38846.13,          36131.51,          40952.32,          37328.00,          32994.34,          30091.66,          29111.81,          26126.35,          23099.91,          22003.94,          20639.38,          21518.01,          20739.18,          21072.31,          21958.37,          20364.95,          18181.31,           7164.45,           6452.84,           4900.03,           4945.72,           4064.76,           2272.25
,World,Fuels,Export,Export(US$ Mil),         727177.58,         590815.54,         462167.22,         586611.83,         946205.95,        1039960.28,        1019881.48,         980945.13,         718759.06,         551297.23,         915885.68,         622351.46,         562765.99,         452291.54,         325320.40,         242527.39,         193789.81,         183298.27,         195513.86,         120001.63,          99413.67,         132441.73,         132905.94,          75607.91,          67422.59,          53539.70,          26097.81,          11054.50,          11894.81,          10656.00,           4940.93
,World,Hides and Skins,Export,Export(US$ Mil),          48160.55,          44964.61,          40872.45,          41825.88,          47022.85,          47027.06,          41916.67,          41512.93,          32810.75,          27579.63,          34978.55,          32940.72,          29363.63,          25705.15,          24734.76,          21990.54,          19658.27,          18894.24,          17454.65,          15736.34,          16288.35,          17640.77,          18514.83,          16558.82,          14595.74,           6349.24,           6128.09,           4177.24,           4704.75,           4608.75,           2812.43
,World,Intermediate goods,Export,Export(US$ Mil),        1729989.29,        1560418.35,        1403974.11,        1446600.48,        1668315.14,        1761485.29,        1644772.26,        1620044.41,        1339095.35,        1137937.89,        1541171.62,        1393344.24,        1168014.27,        1006491.81,         920517.41,         743548.99,         624250.89,         578713.18,         578877.55,         550493.14,         524028.13,         515796.86,         519075.05,         494035.38,         400138.47,         242928.63,         223375.89,         153945.42,         159936.17,         144142.73,         117445.57
,World,Mach and Elec,Export,Export(US$ Mil),        1531593.79,        1397114.53,        1278890.10,        1269857.76,        1450616.60,        1416505.56,        1369153.55,        1468114.25,        1273654.71,        1140930.36,        1514502.45,        1392368.65,        1247132.25,        1084472.35,         989387.55,         820991.05,         714890.84,         700995.75,         705055.86,         673356.92,         642506.93,         604134.76,         582382.89,         540342.03,         428830.96,         261418.70,         222729.50,         162765.73,         162553.19,         134141.97,         113137.41
,World,Metals,Export,Export(US$ Mil),         613960.24,         546169.03,         459889.94,         482799.65,         584952.75,         583770.21,         597634.28,         656278.83,         535187.09,         433699.15,         699074.23,         625082.09,         506247.17,         405911.41,         360952.21,         262755.24,         215589.35,         203466.34,         205830.80,         195560.50,         194500.24,         196663.92,         192552.87,         180596.91,         140616.85,          81022.50,          73549.15,          52524.48,          55568.83,          51300.88,          38156.99
,World,Minerals,Export,Export(US$ Mil),          46580.30,          42277.94,          32329.55,          33563.81,          44065.77,          45530.11,          45530.97,          47122.95,          34778.66,          26353.50,          38191.49,          30698.52,          25861.97,          21680.15,          17823.71,          13448.02,          11271.00,          10512.34,          10830.56,          11067.24,          10765.45,          11368.43,          11374.43,           9741.58,           8137.60,           5542.40,           4930.06,           2850.84,           3359.53,           3224.27,           1519.02
,World,Miscellaneous,Export,Export(US$ Mil),         660317.60,         622299.46,         577918.11,         547161.66,         608483.22,         600959.93,         619168.01,         653970.68,         614033.49,         568890.49,         694742.00,         614725.06,         491636.25,         433415.44,         435555.90,         361611.56,         291439.88,         291622.54,         292737.25,         211825.54,         188040.89,         192155.02,         200076.69,         182922.90,         146166.55,         106087.47,          86489.24,          61151.30,          60411.03,          49089.37,          41215.66
,World,Plastic or Rubber,Export,Export(US$ Mil),         358338.68,         331891.74,         296131.38,         294627.98,         341931.18,         337443.65,         317245.09,         338320.95,         280567.52,         239756.40,         301936.74,         289078.72,         243828.64,         214214.49,         191797.56,         156645.77,         128354.95,         118290.92,         117671.07,         116563.12,         104112.04,         101269.25,         101093.09,         100264.32,          79869.68,          46324.30,          45292.34,          29674.66,          29881.42,          25570.14,          21610.57
,World,Raw materials,Export,Export(US$ Mil),         669071.13,         571983.23,         491614.47,         518446.89,         732654.00,         772732.22,         767227.96,         771773.00,         606542.28,         483890.60,         701568.42,         535302.89,         458342.53,         396487.13,         328297.61,         257945.05,         215461.60,         197419.29,         203049.07,         169563.99,         142794.48,         161865.80,         169240.83,         140659.95,         122236.66,          82125.85,          58845.33,          32331.52,          31715.19,          29144.96,          13834.04
