Reporter,Partner,Product categories,Indicator Type,Indicator,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,World,All Products,Import,Imports (in US$ Mil),         273346.17,         271856.28,         242911.87,         235308.15,         325216.47,         351632.67,         313560.32,         327953.07,         276423.72,         230913.09,         249189.67,         226227.56,         170350.38,         126885.14,         107681.37,          96042.83,          75988.52,          72030.52,          66205.41,          55710.87,          61583.86,          64651.83,          53507.60,          46497.97,          27117.41,          21900.92,          20557.78,           1053.72,           1148.94,,
,...,...,Development,"GNI per capita, Atlas method (current US$)",           1517.05,           1510.41,           1580.18,   1725.18,   1809.31,   1734.93,   1664.00,   1518.56,   1434.37,   1368.88,   1325.92,   1173.15,   1042.63,    896.07,    733.34,    603.29,    553.94,    545.39,    552.87,    561.18,    572.78,    607.00,    593.38,    572.05,    556.26,    580.59,    615.53,    621.75,    624.97,    640.54,    653.28
,...,...,Trade Indicator,HH Market concentration index,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,...,...,Trade Indicator,Index of export market penetration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,...,...,Development,Trade (% of GDP),             53.64,             50.88,             50.63,     53.17,     57.95,     59.19,     63.25,     65.72,     62.10,     59.76,     68.43,     63.35,     61.24,     59.00,     56.36,     58.94,     59.54,     62.87,     61.98,     48.06,     50.32,     52.80,     50.57,     49.89,     44.82,     43.23,     43.07,     42.39,     42.58,     45.20,     41.39
,...,...,Development,Trade Balance (% of GDP),             -2.90,             -1.62,             -3.87,     -4.83,     -2.16,     -2.75,      1.17,      1.43,      1.22,     -2.86,      1.41,      0.51,      3.66,      1.38,      0.75,     -0.57,      0.73,      0.46,      6.12,     -0.00,     -3.49,     -0.79,     -0.52,     -0.31,     -1.25,      0.07,      0.32,      1.36,      2.14,      4.23,      1.71
,...,...,Development,Trade in services (% of GDP),             11.34,             10.13,              9.92,     10.37,     10.37,     10.43,     11.01,     11.57,     11.28,     11.93,     12.58,     11.91,     11.35,     10.85,     11.13,     11.51,     11.87,     12.19,     11.25,     11.89,     11.17,     10.47,     10.71,     10.38,     11.26,     11.26,      9.81,      9.44,      9.59,      9.04,      8.11
,China,All Products,Export,Partner share(%)-Top 5 Export Partner,             13.33,             14.16,             11.80,     13.76,     13.29,     15.27,     14.73,     13.23,     14.38,     14.65,      7.66,      9.89,      4.64,      5.76,,,,,,,,,,,,,,,,,
,China,All Products,Import,Partner share(%)-Top 5 Import Partner,             16.47,             15.77,             17.17,     16.10,     14.74,     13.63,     12.92,     12.36,     12.75,     11.94,     10.30,     10.21,      9.38,      7.61,      6.25,,,,,,,,,,,,,,,,
,France,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,      4.89,,      4.89,      4.80,,      5.54,      5.53,      6.03,      6.01,      5.59,      6.50,      6.39,      5.41,      6.47,      5.43,,,,     12.05,     13.99,,
,France,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,      4.78,      5.16,      4.83,      5.58,      5.78,      6.63,      7.71,      7.37,      6.97,      6.94,      7.21,      9.09,      9.25,      7.97,      8.75,      7.96,      6.89,,,     14.55,     16.59,,
,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,      4.72,,      5.06,      6.03,,,,,,      4.97,     13.09,     12.90,,
,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,              4.74,              5.28,              5.41,      5.16,      4.65,      4.58,      4.59,      5.15,      4.87,      4.79,      6.04,      6.22,      7.27,      7.80,      7.79,      8.01,      8.17,      8.48,      7.83,      9.23,      8.84,      9.04,     10.74,     11.68,     14.41,     13.78,     15.28,      6.08,      6.33,,
,India,All Products,Export,Partner share(%)-Top 5 Export Partner,              9.34,              8.66,              7.88,      5.52,      8.05,      6.78,      7.02,      6.07,      5.94,      5.32,      4.99,,,,,,      4.38,,      5.82,      6.48,,,,,,,,,,,
,India,All Products,Import,Partner share(%)-Top 5 Import Partner,              5.73,              5.61,              5.62,      5.35,      5.74,      6.18,      5.19,      4.43,,,,,,,,,,,,,,,,,,,,,,,
,Japan,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,      6.03,      5.70,      5.30,,      4.16,,,,,,      5.33,      3.93,      4.56,      5.07,     10.62,     10.57,,
,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,      6.35,,,      6.34,      8.61,      9.38,     11.33,     10.20,      7.24,      6.90,,
,Netherlands,All Products,Export,Partner share(%)-Top 5 Export Partner,              5.25,              4.18,              4.10,,      5.75,      5.32,,,      3.81,,      4.89,,,      5.49,      5.44,      4.43,      4.34,,,,      4.94,      5.72,      5.19,,,,,,,,
,South Africa,All Products,Export,Partner share(%)-Top 5 Export Partner,              4.53,              4.93,              5.82,      4.73,,      5.33,      5.33,      4.27,      4.54,      4.87,,      4.64,,,,,,,,,,,,,,,,,,,
,South Africa,All Products,Import,Partner share(%)-Top 5 Import Partner,              6.93,              7.75,              6.97,      8.58,      8.12,      8.27,      8.29,      8.23,      7.74,      8.79,      7.49,      7.30,      7.65,      8.79,     11.21,     10.77,     12.24,     10.44,      9.88,,,,,,,,,     23.44,     16.74,,
,Spain,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,      4.79,,,,,,,,      4.57,,,,,,,,,,      5.20,,,,,,,,
,Special Categories,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,      7.55,,     13.09,     29.98,     23.12,     30.86,,,,
,Special Categories,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,      6.29,     10.25,,,,      7.52,     11.12,,,,
,Switzerland,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,      4.28,,,,,,,,,,,,,,,,,,,,,      5.57,      8.37,,,,,
,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,      4.86,      4.63,,,      4.91,      5.05,      6.38,     11.32,     11.50,      9.49,      9.68,     10.54,      8.36,      7.96,      7.42,      5.67,      9.15,      8.25,      7.08,      6.85,      7.72,      8.15,      9.74,,
,United Kingdom,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,,,,      6.28,      6.87,      7.06,      7.05,      8.08,      8.59,      8.35,      9.71,      9.42,     10.74,      9.89,     10.17,     13.69,     13.85,,
,United States,All Products,Export,Partner share(%)-Top 5 Export Partner,              5.19,              6.50,              6.68,      5.59,      4.70,      6.37,     10.17,     14.15,     16.24,     14.53,     21.14,     21.44,     21.75,     10.94,     10.34,     18.22,     15.71,     19.00,     20.87,     18.26,     18.05,     17.43,     17.82,      7.72,      9.80,     12.91,      7.27,     14.61,     14.25,,
,United States,All Products,Import,Partner share(%)-Top 5 Import Partner,              4.84,              5.03,              6.08,      4.82,      5.69,      5.17,      6.53,      8.07,      7.62,      5.72,      5.50,      7.02,      6.75,      5.68,      5.77,      8.07,      7.72,      8.43,      7.79,      9.74,      9.44,      9.48,     10.68,      9.04,      9.87,     11.70,     13.03,,,,
,Unspecified,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,      4.76,,,,,,,,,,,,
,World,All Products,Trade Indicator,Country Growth (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,World,All Products,Tariff,Duty Free Tariff Lines Share (%),             42.33,             51.41,             38.93,     36.67,     34.31,     32.79,     30.24,     29.22,     26.92,     26.73,     25.23,     28.98,     28.08,     28.02,     27.38,     18.33,     19.56,     21.05,     22.52,     21.80,     11.14,     18.62,     16.07,      8.34,      4.57,     18.13,      0.47,     24.87,     20.54,,
,World,Animal,Export,Export Product share(%),              1.40,              1.74,              2.03,      1.98,      1.31,      1.29,      1.34,      1.08,      1.46,      1.72,      1.42,      1.34,      1.51,      2.77,      3.05,      2.52,      2.75,      2.61,      2.12,      1.52,      1.82,      1.62,      1.44,      1.61,      1.53,      1.22,      1.57,      7.19,      6.39,,
,World,Capital goods,Export,Export Product share(%),              6.25,              7.26,              7.03,      8.63,      6.97,      6.61,      5.33,      5.32,      5.90,      5.93,      7.16,      5.99,      6.48,      9.36,      8.56,      6.66,      7.42,      5.80,      4.86,      6.76,      7.92,      6.99,      5.46,      5.80,      5.79,      5.18,      6.27,      1.64,      2.21,,
,World,Chemicals,Export,Export Product share(%),              3.04,              3.35,              3.72,      4.16,      3.14,      2.61,      2.06,      2.03,      2.37,      2.36,      3.04,      2.50,      3.04,      5.25,      5.16,      3.65,      4.55,      3.49,      3.10,      3.93,      4.93,      4.55,      4.42,      4.80,      4.43,      3.57,      5.14,      1.13,      0.71,,
